AREA,PERIMETER,NCIDAD_,NCIDAD_ID,NOME
639185.900000,5831.761000,164,147,Funil
653978.400000,7671.618000,165,234,Travessão
882648.000000,5944.641000,166,148,Aperibé
30761.420000,1234.703000,167,149,Três Irmãos
213307.400000,2584.688000,168,150,Funil
513219.500000,5016.997000,169,151,Cibrazem
2756946.000000,8484.043000,170,152,Atafona
1386994.000000,6928.711000,171,153,Ipuca
769318.400000,5312.535000,172,154,Santa Cruz de Ibitinema
1789571.000000,6355.426000,173,155,São João da Barra
2075953.000000,6993.038000,174,156,São Fidélis
577489.400000,3784.567000,175,157,Pirapetinga
270915.100000,2492.550000,176,158,Providência
514166.100000,4718.932000,177,406,Chácara
108488.200000,1334.317000,178,159,São Pedro de Alcântara
1492951.000000,11988.910000,179,160,Itaocara
248921.900000,2742.493000,180,161,São Domingos
95195.410000,1568.569000,181,162,Água Viva
71205.830000,1155.543000,182,163,Colônia
106428.500000,1216.876000,183,407,Maripá de Minas
167149.700000,1778.995000,184,164,Caiapó
55513.410000,964.390300,185,408,Pedro Teixeira
401062.800000,2638.579000,186,409,Rosário de Minas
205996.100000,1933.283000,187,637,Conceição do Ibitipoca
2366224.000000,12142.840000,188,410,Bicas
31107820.000000,62294.090000,189,411,Juiz de Fora
162808.300000,1508.843000,190,165,Jaguarembé de Cima
82512.730000,1105.867000,191,166,Trimonte
287441.700000,3032.741000,192,167,Coronel Teixeira
662353.000000,5946.500000,193,412,Guarará
81423.310000,1139.604000,194,168,Cambiasca
35269900.000000,54173.530000,195,169,Campos dos Goytacazes
109999.400000,1505.665000,196,170,Valão Quente
663293.300000,3425.381000,197,413,Floresta
176603.400000,1718.922000,198,171,Estrela Dalva
243115.000000,2439.211000,199,172,Angustura
557132.900000,4870.398000,200,173,Barcelos
164346.100000,1525.240000,201,174,Santo Antônio do Aventureiro
238112.100000,1928.964000,202,175,São Sebastião do Paraíba
852672.100000,4363.776000,203,414,Retiro
441215.300000,3883.369000,204,176,Laranjais
819394.000000,3938.998000,205,177,Volta Grande
285164.400000,2446.826000,206,415,São José dos Lopes
522397.500000,3879.797000,207,178,Ipituna
317863.400000,2510.092000,208,417,Nova Califórnia
198766.900000,1988.400000,209,418,Senador Cortes
148693.200000,1884.205000,210,419,Salvaterra de Cima
225144.300000,2150.116000,211,420,Engenho Novo
54568.250000,993.297000,212,421,São Domingos da Bocaina
118036.300000,1670.092000,213,422,Vale do Sol
72998.190000,1315.917000,214,423,Salvaterra de Cima
172827.800000,1629.111000,215,179,Estrada Nova
1919796.000000,8472.930000,216,180,Parque Bela Vista
104593.500000,1509.129000,217,424,Sarandira
219327.300000,2008.478000,218,181,Porto Velho do Cunha
216156.200000,2160.328000,219,425,Lima Duarte
640490.800000,4878.806000,220,426,Pequeri
103727.400000,1787.296000,221,182,Valão do Barro
522261.800000,4371.678000,222,427,Lima Duarte
1260108.000000,8126.818000,223,183,José Gonçalves
173421.200000,1581.729000,224,428,Olaria
2114896.000000,7894.932000,225,184,Goitacazes
320695.300000,2905.010000,226,429,Torreões
1481363.000000,9900.547000,227,430,Mar de Espanha
241482.000000,2425.766000,228,185,Boa Sorte
5342580.000000,29633.500000,229,433,Além Paraíba
506945.900000,4676.370000,230,432,Matias Barbosa
240750.600000,1938.105000,231,186,Córrego da Prata
357462.900000,2312.597000,232,187,Santa Rita da Floresta
619525.100000,4901.843000,233,434,Jamapará
798395.200000,5866.938000,234,188,Euclidelândia
2578709.000000,9611.896000,235,189,Carmo
56057.860000,910.817400,236,435,Saudade
774607.900000,3865.282000,237,436,Bom Jardim de Minas
139576.800000,1575.467000,238,437,Belmiro Braga
84081.360000,1317.606000,239,438,Santana do Deserto
124921.700000,1356.481000,240,439,Santa Bárbara do Monte Verde
219477.400000,1989.396000,241,440,Simão Pereira
621720.200000,5135.040000,242,190,Santa Maria Madalena
116014.100000,1563.604000,243,191,São Sebastião do Alto
104559.600000,1321.881000,244,441,Tabuão
409863.500000,4836.867000,245,192,Cantagalo
573891.600000,4161.976000,246,193,Macuco
386280.700000,5077.323000,247,442,Sapucaia
159710.200000,1518.716000,248,443,Chiador
47364.190000,1019.456000,249,194,Bela Joana
138985.700000,2004.038000,250,444,Bairro São João
309551.300000,2419.140000,251,445,Afonso Arinos
348266.100000,2816.202000,252,195,Bairro Jardim de Alá
724277.600000,5389.204000,253,446,Comendador Levy Gasparian
174985.500000,1584.480000,254,638,Três Ilhas
1811092.000000,13375.250000,255,196,Cordeiro
323114.600000,2494.179000,256,197,Nossa Senhora Aparecida
226260.100000,2757.781000,257,447,Anta
67116.360000,968.815400,258,448,Itaboca
